"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"20240121001409A","21-JAN-24","LITTLE ROCK","AR","BILL AND HILLARY CLINTON NATIONAL/ADAMS FI","","","","","","","","","","","","1","0","","","","","","22000","","",""
"20240121003699A","21-JAN-24","KENOSHA","WI","KENOSHA RGNL","","","","","","","","","","","","0","0","","","","","","1449","162","12",""
"20240123001959A","23-JAN-24","WESTON","FL","","","","","","","","","","","","","2","0","","","","","","","","",""
"20240123004999I","23-JAN-24","SEBASTIAN","FL","SEBASTIAN MUNI","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","830","164","79",""
"20240124000499I","24-JAN-24","GAINESVILLE","FL","GAINESVILLE RGNL","","","","","","","","","","","","0","0","","","","","","1457","","",""
"20240124001539I","24-JAN-24","FORT LAUDERDALE","FL","FORT LAUDERDALE EXECUTIVE","","","","","","","","","","","","0","0","","","","","","19864","3493","10",""
"20240124001759A","24-JAN-24","","TX","ADDISON","","","","","","","","","","","","1","0","","","","","","","","",""
"20240124003299I","24-JAN-24","PHOENIX","AZ","PHOENIX-MESA GATEWAY","","","","","","","","","","","","0","0","","","","","","900","","",""
"20240124004029I","24-JAN-24","ANCHORAGE","AK","TED STEVENS ANCHORAGE INTL","","","","","","","ATLAS AIR","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","20495","9105","134",""
"20240125000369I","25-JAN-24","HOUSTON","TX","WILLIAM P HOBBY","","","","","","","","","","","","0","0","","","","","","10989","850","97",""
"20240125000379A","25-JAN-24","WAHIAWA","HI","","","","","","","","K AND S HELICOPTERS INC","","","","","0","0","","","","","","15900","10000","200",""
"20240125000469I","25-JAN-24","WINSTON SALEM","NC","SMITH REYNOLDS","","","","","","","","","","","","0","0","","","","","","895","406","11",""
"20240125000579I","25-JAN-24","LEESBURG","VA","LEESBURG EXECUTIVE","","","","","","","","","","","","0","0","","","","","","30000","","",""
"20240125004159A","25-JAN-24","ZEPHYRHILLS","FL","ZEPHYRHILLS MUNI","","","","","","","","","","","","0","1","","","","","","","","",""
"20240126000329A","26-JAN-24","LONDONDERRY","NH","","","","","","","","WIGGINS AIRWAYS","","","","","0","0","","","","","","3551","77","64",""
"20240126000359I","26-JAN-24","","FL","","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","962","","",""
"20240126000459I","26-JAN-24","PALM COAST","FL","FLAGLER COUNTY","","","","","","","","","","","","0","0","","","","","","1151","","",""
"20240126000809I","26-JAN-24","LEESBURG","VA","LEESBURG EXECUTIVE","","","","","","","","","","","","0","0","","","","","","4352","","",""
"20240126001529A","26-JAN-24","","","","","","","","","","","","","","","0","1","","","","","","1008","532","22",""
"20240126001599I","26-JAN-24","OGDEN","UT","OGDEN-HINCKLEY","","","","","","","","","","","","0","0","","","","","","2514","525","96",""
"20240126001719I","26-JAN-24","LEESBURG","FL","LEESBURG INTL","","","","","","","","","","","","0","0","","","","","","4400","","",""
"20240126002049I","26-JAN-24","LEESVILLE","LA","","","","","","","","","","","","","0","0","","","","","","31387","","",""
"20240126005229I","26-JAN-24","SANTA BARBARA","CA","SANTA BARBARA MUNI","","","","","","","","","","","","0","0","","","","","","112","96","11",""
"20240127001129I","27-JAN-24","LONGMONT","CO","VANCE BRAND","","","","","","","","","PARACHUTE JUMPING","","","1","0","","","","","","","","",""
"20240128000409A","28-JAN-24","ORLANDO","FL","ORLANDO INTL","","","","","","","","","","","","0","0","","","","","","4518","267","20",""
"20240128001029I","28-JAN-24","HOUSTON","TX","DAVID WAYNE HOOKS MEMORIAL","","","","","","","","","","","","0","0","","","","","","","","",""
"20240129000349I","29-JAN-24","LAS CRUCES","NM","LAS CRUCES INTL","","","","","","","LONGHORN AVIATION","","","","","0","0","","","","","","12160","295","105",""
"20240129000859I","29-JAN-24","WOODVILLE","TX","TYLER COUNTY","","","","","","","","","","","","0","0","","","","","","","","",""
"20240129000909I","29-JAN-24","JEFFERSON CITY","MO","JEFFERSON CITY MEMORIAL","","","","","","","","","","","","0","0","","","","","","27","27","11",""
"20240129001999A","29-JAN-24","TERRELL","TX","","","","","","","","","","","","","0","2","","","","","","","","",""
"20240129002039A","29-JAN-24","LAREDO","TX","LAREDO INTL","","","","","","","","","","","","2","0","","","","","","","","",""
"20240130001019I","30-JAN-24","PRESCOTT","AZ","ERNEST A. LOVE FIELD","","","","","","","","","","","","0","0","","","","","","","","",""
"20240130003639A","30-JAN-24","CONCORD","CA","BUCHANAN FIELD","","","","","","","","","","","","1","1","","","","","","","","",""
"20240130005459I","30-JAN-24","SARASOTA","FL","SARASOTA/BRADENTON INTL","","","","","","","","","","","","0","0","","","","","","","","",""
"20240131000869A","31-JAN-24","EUFAULA","AL","WEEDON FIELD","","","","","","","","","","","","1","0","","","","","","","","",""
"20240131000949I","31-JAN-24","ELOY","AZ","ELOY MUNI","","","","","","","","","PARACHUTE JUMPING","","","1","0","","","","","","","","",""
"20240131001009A","31-JAN-24","CONWAY","AR","","","","","","","","","","","","","0","0","","","","","","1008","300","100",""
"20240131001069I","31-JAN-24","","FL","OKEECHOBEE COUNTY","","","","","","","","","","","","0","0","","","","","","25930","113","17",""
"20240131007359I","31-JAN-24","SAUGET","IL","ST LOUIS DOWNTOWN","","","","","","","IDEAL AVIATION","","PILOT SCHOOLS","","","0","0","","","","","","38","","",""
"20240201000249A","01-FEB-24","RUTLEDGE","MN","","","","","","","","","","","","","0","1","","","","","","65","65","47",""
"20240201000649A","01-FEB-24","ELIZABETHTOWN","NC","CURTIS L BROWN JR FIELD","","","","","","","","","","","","0","0","","","","","","","","",""
"20240201000939I","01-FEB-24","SARASOTA","FL","SARASOTA/BRADENTON INTL","","","","","","","","","","","","0","0","","","","","","","","",""
"20240201000999A","01-FEB-24","COATESVILLE","PA","CHESTER COUNTY G O CARLSON","","","","","","","","","","","","1","0","","","","","","2400","","",""
"20240201001449A","01-FEB-24","LOUISVILLE","KY","BOWMAN FIELD","","","","","","","","","","","","0","0","","","","","","14000","25","80",""
"20240201001919A","01-FEB-24","MIAMI","FL","MIAMI","","","","","","","","","","","","0","0","","","","","","520","300","90",""
"20240201002959A","01-FEB-24","CLEARWATER","FL","CLEARWATER AIR PARK","","","","","","","","","","","","3","1","","","","","","","","",""
"20240201003279I","01-FEB-24","HAMPTON","GA","","","","","","","","","","","","","0","0","","","","","","140","1","90",""
"20240201003549I","01-FEB-24","MILWAUKEE","WI","LAWRENCE J TIMMERMAN","","","","","","","","","","","","0","0","","","","","","100","2","12",""
"20240201003839I","01-FEB-24","FORT ATKINSON","WI","FORT ATKINSON MUNI","","","","","","","","","","","","0","0","","","","","","245","","",""
"20240202000899I","02-FEB-24","CRYSTAL","MN","CRYSTAL","","","","","","","","","","","","0","0","","","","","","650","30","3",""
"20240202001149A","02-FEB-24","BYLTHEVILLE","AR","BLYTHEVILLE MUNI","","","","","","","","","","","","0","0","","","","","","","","",""
"20240202001519A","02-FEB-24","CHEROKEE","OK","CHEROKEE MUNI","","","","","","","","","","","","0","0","","","","","","6609","","",""
"20240202004369A","02-FEB-24","HAYWARD","WI","SAWYER COUNTY","","","","","","","","","","","","0","0","","","","","","12300","120","40",""
"20240204000639A","04-FEB-24","ABINGDON","VA","VIRGINIA HIGHLANDS","","","","","","","","","","","","0","0","","","","","","15020","375","60",""
"20240204000889I","04-FEB-24","ROCHESTER","MN","ROCHESTER INTL","","","","","","","","","","","","0","0","","","","","","1970","","",""
"20240204001139I","04-FEB-24","ORLANDO","FL","EXECUTIVE","","","","","","","","","","","","0","0","","","","","","2710","","",""
"20240204002559A","04-FEB-24","INVER GROVE HEIGHTS","MN","","","","","","","","","","","","","0","1","","","","","","35640","380","68",""
"20240205000099I","05-FEB-24","BETHEL","AK","BETHEL","","","","","","","GRANT AVIATION","","","","","0","0","","","","","","1305","96","96",""
"20240205000659A","05-FEB-24","LEBANON","TN","LEBANON MUNI","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","1219","","",""
"20240205000839I","05-FEB-24","MANKATO","MN","MANKATO RGNL","","","","","","","","","","","","0","0","","","","","","446","111","12",""
"20240205001439I","05-FEB-24","NEW RICHMOND","WI","NEW RICHMOND RGNL","","","","","","","","","","","","0","0","","","","","","461","11","18",""
"20240205001509A","05-FEB-24","PARKLAND","FL","","","","","","","","","","","","","0","0","","","","","","1586","11","10",""
"20240206000879I","06-FEB-24","DOTHAN","AL","DOTHAN RGNL","","","","","","","","","","","","0","0","","","","","","6200","600","30",""
"20240206001299A","06-FEB-24","SMYRNA","DE","","","","","","","","","","","","","0","0","","","","","","","","",""
"20240206001749I","06-FEB-24","KEENE","TX","EMBRY RANCH","","","","","","","","","","","","0","0","","","","","","216","370","9",""
"20240206002619A","06-FEB-24","WEST PALM BEACH","FL","NORTH PALM BEACH COUNTY GENERAL AVIATION","","","","","","","","","","","","0","0","","","","","","","125","8",""
"20240206008069I","06-FEB-24","","HI","","","","","","","","","","","","","0","0","","","","","","1231","","",""
"20240207000339I","07-FEB-24","ATLANTA","GA","HARTSFIELD - JACKSON ATLANTA INTL","","","","","","","JAZZ","","FOREIGN AIR CARRIER","","","0","0","","","","","","","","",""
"20240207001189A","07-FEB-24","STEVENSVILLE","MD","BAY BRIDGE","","","","","","","","","","","","0","0","","","","","","2160","","",""
"20240207004609I","07-FEB-24","PANAMA CITY","FL","NORTHWEST FLORIDA BEACHES INTL","","","","","","","","","","","","0","0","","","","","","6000","200","20",""
"20240207008509A","07-FEB-24","PLANTERVILLE","MS","TUPELO RGNL","","","","","","","","","","","","0","1","","","","","","200","200","16",""
"20240208001829I","08-FEB-24","TIMBERLAKE","NC","PERSON COUNTY","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","705","","",""
"20240208011779A","08-FEB-24","WAYSIDE","TX","","","","","","","","","","","","","0","0","","","","","","43","37","",""
"20240208015449I","08-FEB-24","SMITHFIELD","NC","JOHNSTON COUNTY","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","","","",""
"20240209000749A","09-FEB-24","NAPLES","FL","","","","","","","","ACE AVIATION SERVICES","","","","","2","3","","","","","","10387","2695","",""
"20240209001059I","09-FEB-24","KISSIMMEE","FL","KISSIMMEE GATEWAY","","","","","","","","","","","","0","0","","","","","","","","",""
"20240209001589I","09-FEB-24","GROVELAND","CA","PINE MOUNTAIN LAKE","","","","","","","","","","","","0","0","","","","","","330","290","2",""
"20240209001709I","09-FEB-24","TALLAHASSEE","FL","","","","","","","","","","","","","0","0","","","","","","","","",""
"20240210000679I","10-FEB-24","TRENTON","NJ","TRENTON MERCER","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","386","210","135",""
"20240210001399A","10-FEB-24","SPANISH FORK","UT","","","","","","","","","","","","","0","0","","","","","","274","","",""
"20240210001769A","10-FEB-24","","NY","NEWARK LIBERTY INTL","","","","","","","UNITED AIR LINES INC","","AIR CARRIER/COMMERCIAL","","","0","4","","","","","","16511","","",""
"20240210002349I","10-FEB-24","WAPPINGERS FALLS","NY","DUTCHESS COUNTY","","","","","","","","","","","","0","0","","","","","","13275","4500","79",""
"20240210007159A","10-FEB-24","BURLEY","ID","BURLEY MUNI","","","","","","","","","","","","0","1","","","","","","270","","",""
"20240211000569I","11-FEB-24","WILLIAMS","AZ","H.A. CLARK MEMORIAL FIELD","","","","","","","","","","","","0","0","","","","","","1726","","",""
"20240211000629A","11-FEB-24","MARICOPA","AZ","PHOENIX RGNL","","","","","","","","","","","","0","0","","","","","","356","100","4",""
"20240211000759I","11-FEB-24","NAPLES","FL","NAPLES MUNI","","","","","","","","","","","","0","0","","","","","","13800","2500","150",""
"20240211001049I","11-FEB-24","SAINT AUGUSTINE","FL","NORTHEAST FLORIDA RGNL","","","","","","","","","","","","0","0","","","","","","683","91","31",""
"20240211001079I","11-FEB-24","BRIDGEPORT","CT","IGOR I SIKORSKY MEMORIAL","","","","","","","","","","","","0","0","","","","","","681","","",""
"20240211001389A","11-FEB-24","SANTA ANA","CA","JOHN WAYNE AIRPORT-ORANGE COUNTY","","","","","","","SUNRISE AVIATION","","","","","0","1","","","","","","448","18","15",""
"20240211001429I","11-FEB-24","PEMBROKE PINES","FL","NORTH PERRY","","","","","","","","","","","","0","0","","","","","","","","",""
"20240211002119I","11-FEB-24","NEW WINDSOR","NY","STEWART INTL","","","","","","","","","","","","0","0","","","","","","275","110","24",""
"20240211002139I","11-FEB-24","SEATTLE","WA","BOEING FIELD/KING COUNTY INTL","","","","","","","","","","","","0","0","","","","","","865","107","13",""
"20240211002299I","11-FEB-24","ROCHESTER","MN","ROCHESTER INTL","","","","","","","","","","","","0","0","","","","","","208","177","7",""
"20240211002819I","11-FEB-24","OXNARD","CA","OXNARD","","","","","","","","","","","","0","0","","","","","","600","105","25",""
"20240211003989A","11-FEB-24","","AK","FARRARS LANDING","","","","","","","","","","","","0","0","","","","","","3909","","",""
"20240211004749A","11-FEB-24","ANSLEY","NE","","","","","","","","","","","","","0","0","","","","","","","","",""
"20240212001039I","12-FEB-24","BUFFALO","NY","BUFFALO NIAGARA INTL","","","","","","","","","","","","0","0","","","","","","1300","1000","",""
"20240212001119A","12-FEB-24","SOUTH LYON","MI","","","","","","","","","","","","","0","0","","","","","","1817","517","",""
"20240213000529A","13-FEB-24","MELBOURNE","FL","MELBOURNE INTL","","","","","","","F I T AVIATION INC LLC","","PILOT SCHOOLS","","","0","0","","","","","","176","44","20",""
"20240213000619I","13-FEB-24","PHOENIX","AZ","PHOENIX DEER VALLEY","","","","","","","","","","","","0","0","","","","","","1459","1380","40",""
"20240213000699I","13-FEB-24","COVINGTON","KY","CINCINNATI/NORTHERN KENTUCKY INTL","","","","","","","JAZZ","","FOREIGN AIR CARRIER","","","0","0","","","","","","","","",""
"20240213000719I","13-FEB-24","PORTLAND","OR","PORTLAND INTL","","","","","","","ALASKA AIRLINES INC","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","","","",""
"20240213001099I","13-FEB-24","CHESTERFIELD","MO","SPIRIT OF ST LOUIS","","","","","","","","","","","","0","0","","","","","","67","62","9",""
"20240213001109I","13-FEB-24","SHILOH","NC","ROCKINGHAM COUNTY NC SHILOH","","","","","","","","","","","","0","0","","","","","","39000","","",""
"20240213001499I","13-FEB-24","EVANSVILLE","IN","EVANSVILLE RGNL","","","","","","","","","","","","0","0","","","","","","47","47","15",""
"20240214000319I","14-FEB-24","KARLUK","AK","","","","","","","","REDEMPTION INC","","","","","0","0","","","","","","1050","","",""
"20240214001229A","14-FEB-24","LEWISTOWN","MT","LEWISTOWN MUNI","","","","","","","","","","","","0","0","","","","","","4897","59","32",""
"20240214001279I","14-FEB-24","SAN JUAN","PR","LUIS MUNOZ MARIN INTL","","","","","","","AIR CANADA AIRLINES","","FOREIGN AIR CARRIER","","","0","0","","","","","","","","",""
"20240214001489A","14-FEB-24","MESA","AZ","FALCON FLD","","","","","","","","","","","","0","0","","","","","","13000","33","9",""
"20240214001629I","14-FEB-24","BOISE","ID","BOISE AIR TERMINAL/GOWEN FLD","","","","","","","","","","","","0","0","","","","","","775","80","100",""
"20240214004139A","14-FEB-24","BENTONVILLE","AR","BENTONVILLE MUNI/LOUISE M THADEN FIELD","","","","","","","","","","","","0","1","","","","","","20000","","",""
"20240214005729I","14-FEB-24","SAINT GENEVIEVE","MO","","","","","","","","","","","","","0","0","","","","","","2110","252","22",""
"20240214013229I","14-FEB-24","TAYLOR","TX","TAYLOR MUNI","","","","","","","","","","","","0","0","","","","","","","","",""
"20240215001699I","15-FEB-24","NEWTON","KS","NEWTON-CITY-COUNTY","","","","","","","","","","","","0","0","","","","","","12026","","",""
"20240215002429I","15-FEB-24","LOUISVILLE","KY","BOWMAN FIELD","","","","","","","","","","","","0","0","","","","","","2100","","",""
"20240215005449I","15-FEB-24","POLK CITY","FL","","","","","","","","","","","","","0","0","","","","","","1900","350","1",""
"20240216000709I","16-FEB-24","","MO","LAMBERT-ST LOUIS INTL","","","","","","","JAZZ","","FOREIGN AIR CARRIER","","","0","0","","","","","","","","",""
"20240216000779I","16-FEB-24","GEORGETOWN","TX","GEORGETOWN MUNI","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","303","","",""
"20240216001479I","16-FEB-24","TITUSVILLE","FL","SPACE COAST RGNL","","","","","","","","","","","","0","0","","","","","","1600","","",""
"20240216003689A","16-FEB-24","DE LEON SPRINGS","FL","","","","","","","","","","","","","0","0","","","","","","1252","15","",""
"20240216004599A","16-FEB-24","BROOKWOOD","AL","","","","","","","","","","","","","1","0","","","","","","2000","","",""
"20240216009229A","16-FEB-24","EVERETT","WA","","","","","","","","","","","","","0","0","","","","","","","","",""
"20240216009349A","16-FEB-24","PETERSVILLE","AK","","","","","","","","","","","","","0","0","","","","","","1204","882","1",""
"20240217000309I","17-FEB-24","KWIGILLINGOK","AK","KWIGILLINGOK","","","","","","","GRANT AVIATION","","","","","0","0","","","","","","","351","122",""
"20240217010079I","17-FEB-24","FORT MYERS","FL","PAGE FIELD","","","","","","","","","","","","0","0","","","","","","350","350","39",""
"20240218001089A","18-FEB-24","GALENA","AK","","","","","","","","","","","","","0","0","","","","","","1748","","",""
"20240219001219I","19-FEB-24","GREENVILLE","SC","DONALDSON CENTER","","","","","","","","","","","","0","0","","","","","","1075","265","5",""
"20240219001989I","19-FEB-24","MOUNT PLEASANT","TX","","","","","","","","","","","","","0","0","","","","","","617","202","4",""
"20240220000799A","20-FEB-24","","HI","","","","","","","","WINDWARD AVIATION INC","","","","","0","0","","","","","","3488","","",""
"20240220000989A","20-FEB-24","SAN MARCOS","TX","SAN MARCOS MUNI","","","","","","","","","","","","0","1","","","","","","775","","",""
"20240220002129I","20-FEB-24","YUKON","OK","SUNDANCE AIRPARK","","","","","","","","","","","","0","0","","","","","","204","29","7",""
"20240220002899A","20-FEB-24","FARMINGDALE","NY","REPUBLIC","","","","","","","","","","","","0","0","","","","","","550","100","150",""
"20240220003459A","20-FEB-24","MARKS","MS","SELFS","","","","","","","","","","","","0","0","","","","","","431","8","3",""
"20240220004129A","20-FEB-24","LAOTTO","IN","","","","","","","","","","","","","0","1","","","","","","202","113","",""
"20240220009159A","20-FEB-24","ORLANDO","FL","","","","","","","","","","","","","0","0","","","","","","285","15","15",""
"20240220010069A","20-FEB-24","","FL","MARION COUNTY","","","","","","","","","","","","0","0","","","","","","","","",""
"20240221002609I","21-FEB-24","FORT LAUDERDALE","FL","FORT LAUDERDALE EXECUTIVE","","","","","","","","","","","","0","0","","","","","","9780","231","97",""
"20240221002809I","21-FEB-24","KNOXVILLE","TN","MC GHEE TYSON","","","","","","","","","","","","0","0","","","","","","2801","31","43",""
"20240222001209I","22-FEB-24","WICHITA FALLS","TX","KICKAPOO DOWNTOWN","","","","","","","","","","","","0","0","","","","","","6937","350","102",""
"20240222001569A","22-FEB-24","","CA","","","","","","","","","","","","","0","1","","","","","","265","90","20",""
"20240222001929I","22-FEB-24","MARATHON","FL","THE FLORIDA KEYS MARATHON","","","","","","","","","","","","0","0","","","","","","6212","","",""
"20240222002219A","22-FEB-24","RICHLAND CENTER","WI","RICHLAND","","","","","","","","","","","","0","0","","","","","","368","","",""
"20240222002419I","22-FEB-24","DULUTH","MN","DULUTH INTL","","","","","","","","","","","","0","0","","","","","","8100","","",""
"20240222002799A","22-FEB-24","WEIPPE","ID","THE LAST RESORT","","","","","","","","","","","","0","1","","","","","","2480","","",""
"20240222004739I","22-FEB-24","TAOS","NM","TAOS RGNL","","","","","","","","","","","","0","0","","","","","","","","",""
"20240223000789A","23-FEB-24","","CA","","","","","","","","","","AGRICULTURAL","","","0","1","","","","","","15060","","",""
"20240223000929A","23-FEB-24","TULSA","OK","RICHARD LLOYD JONES JR","","","","","","","","","","","","0","0","","","","","","240","40","36",""
"20240223001269A","23-FEB-24","TRUTH OR CONSEQUENCES","NM","TRUTH OR CONSEQUENCES MUNI","","","","","","","","","","","","0","1","","","","","","130","13","20",""
"20240223001419I","23-FEB-24","MIAMI","FL","MIAMI","","","","","","","","","","","","0","0","","","","","","1773","114","7",""
"20240223002109I","23-FEB-24","YOUNGSTOWN","OH","YOUNGSTOWN-WARREN RGNL","","","","","","","","","","","","0","0","","","","","","6100","","",""
"20240223002209I","23-FEB-24","FOND DU LAC","WI","FOND DU LAC COUNTY","","","","","","","","","","","","0","0","","","","","","9250","4000","15",""
"20240223002289I","23-FEB-24","SOUTH BEND","IN","SOUTH BEND","","","","","","","","","","","","0","0","","","","","","720","16","60",""
"20240223003379I","23-FEB-24","TAMPA","FL","TAMPA EXECUTIVE","","","","","","","","","","","","0","0","","","","","","","","",""
"20240224001329A","24-FEB-24","JACKSON","OH","JAMES A RHODES","","","","","","","","","","","","3","0","","","","","","150","","",""
"20240224001659A","24-FEB-24","CAPE CORAL","FL","","","","","","","","","","","","","0","0","","","","","","","","",""
"20240224001809I","24-FEB-24","NEW ORLEANS","LA","LAKEFRONT","","","","","","","","","","","","0","0","","","","","","","","",""
"20240224002159I","24-FEB-24","BURNS","OR","BURNS MUNI","","","","","","","","","","","","0","0","","","","","","505","","",""
"20240225001739A","25-FEB-24","MOULTONBOROUGH","NH","","","","","","","","","","","","","0","0","","","","","","13000","500","5",""
"20240225002099A","25-FEB-24","WATERTOWN","SD","WATERTOWN RGNL","","","","","","","","","","","","0","0","","","","","","","","",""
"20240225002479A","25-FEB-24","PATTERSON","LA","HARRY P WILLIAMS MEMORIAL","","","","","","","","","","","","0","0","","","","","","","","",""
"20240225003529I","25-FEB-24","TAUNTON","MA","TAUNTON MUNI - KING FIELD","","","","","","","","","","","","0","0","","","","","","","","",""
"20240225003939A","25-FEB-24","GRANGER","TX","","","","","","","","","","","","","0","1","","","","","","1618","27","67",""
"20240226000979A","26-FEB-24","FORT MYERS","FL","PAGE FIELD","","","","","","","","","","","","0","0","","","","","","","","",""
"20240226001359I","26-FEB-24","SAINT PETERSBURG","FL","ST PETERSBURG-CLEARWATER INTL","","","","","","","","","","","","0","0","","","","","","","","",""
"20240226001469A","26-FEB-24","CLARION","IA","CLARION MUNI","","","","","","","","","","","","0","1","","","","","","102","","6",""
"20240227001729I","27-FEB-24","NASHUA","NH","BOIRE FIELD","","","","","","","","","","","","0","0","","","","","","456","18","3",""
"20240227001889A","27-FEB-24","SANFORD","FL","ORLANDO SANFORD INTL","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","567","348","124",""
"20240227002949A","27-FEB-24","THE DALLES","OR","COLUMBIA GORGE RGNL/THE DALLES MUNI","","","","","","","","","","","","0","0","","","","","","193","77","19",""
"20240227004339I","27-FEB-24","PASCO","WA","TRI-CITIES","","","","","","","ALASKA AIRLINES INC","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","","","",""
"20240228000729I","28-FEB-24","JUNEAU","AK","JUNEAU INTL","","","","","","","ALASKA AIRLINES INC","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","","","",""
"20240228001649I","28-FEB-24","BROOMFIELD","CO","ROCKY MOUNTAIN METROPOLITAN","","","","","","","","","","","","0","0","","","","","","1550","300","30",""
"20240228002089A","28-FEB-24","ALEXANDRIA","LA","ESLER RGNL","","","","","","","","","","","","0","0","","","","","","365","360","41",""
"20240228002599I","28-FEB-24","FORT MYERS","FL","PAGE FIELD","","","","","","","","","","","","0","0","","","","","","3598","","",""
"20240228002859A","28-FEB-24","ALBUQUERQUE","NM","ALBUQUERQUE INTL SUNPORT","","","","","","","","","","","","0","0","","","","","","990","","",""
"20240228004259A","28-FEB-24","SACRAMENTO","CA","SACRAMENTO EXECUTIVE","","","","","","","","","","","","0","0","","","","","","1631","","",""
"20240229001259I","29-FEB-24","NASHVILLE","TN","JOHN C TUNE","","","","","","","","","","","","0","0","","","","","","180","","",""
"20240229001309A","29-FEB-24","MARIANNA","FL","","","","","","","","","","","","","0","0","","","","","","1","","",""
"20240229001859I","29-FEB-24","NEWARK","NJ","NEWARK LIBERTY INTL","","","","","","","JAZZ","","FOREIGN AIR CARRIER","","","0","0","","","","","","","","",""
"20240229002319I","29-FEB-24","KERMAN","CA","","","","","","","","","","","","","0","0","","","","","","1860","","",""
"20240229002889A","29-FEB-24","LEESBURG","VA","LEESBURG EXECUTIVE","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","425","","",""
"20240229004119I","29-FEB-24","BRUNSWICK","GA","BRUNSWICK GOLDEN ISLES","","","","","","","","","","","","0","0","","","","","","20107","260","147",""
"20240229008769I","29-FEB-24","OGDEN","UT","HILL AFB","","","","","","","","","","","","0","0","","","","","","3300","219","65",""
"20240301002589A","01-MAR-24","KEY LARGO","FL","OCEAN REEF CLUB","","","","","","","","","","","","0","0","","","","","","400","120","15",""
"20240301004069A","01-MAR-24","ZEPHYRHILLS","FL","ZEPHYRHILLS MUNI","","","","","","","","","","","","0","0","","","","","","1200","500","15",""
"20240301006319A","01-MAR-24","NEW SMYRNA BEACH","FL","MASSEY RANCH AIRPARK","","","","","","","","","","","","0","0","","","","","","400","","",""
"20240302002199I","02-MAR-24","ORLANDO","FL","EXECUTIVE","","","","","","","","","","","","0","0","","","","","","","","",""
"20240302002259A","02-MAR-24","PARAGOULD","AR","KIRK FIELD","","","","","","","","","","","","0","0","","","","","","37","37","20",""
"20240302002409A","02-MAR-24","AFTON","MN","","","","","","","","","","","","","2","0","","","","","","1249","","",""
"20240302004899A","02-MAR-24","","","","","","","","","","JETBLUE AIRWAYS","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","13300","","",""
"20240302010969I","02-MAR-24","ADDISON","TX","ADDISON","","","","","","","AMERICAN FLYERS","","","","","0","0","","","","","","65","65","43",""
"20240303001819A","03-MAR-24","SMYRNA","TN","SMYRNA","","","","","","","","","","","","0","0","","","","","","","","",""
"20240303001849I","03-MAR-24","MONTREAL","","","","","","","","","AIR CANADA AIRLINES","","FOREIGN AIR CARRIER","","","0","0","","","","","","","","",""
"20240303002249I","03-MAR-24","INDIANAPOLIS","IN","EAGLE CREEK AIRPARK","","","","","","","","","","","","0","0","","","","","","3400","12","20",""
"20240303002679I","03-MAR-24","ORLANDO","FL","ORLANDO INTL","","","","","","","","","","","","0","0","","","","","","","","",""
"20240303002879A","03-MAR-24","FORT MYERS","FL","PAGE FIELD","","","","","","","","","","","","0","0","","","","","","109","84","7",""
"20240304001239A","04-MAR-24","NASHVILLE","TN","","","","","","","","","","","","","5","0","","","","","","","","",""
"20240304001249A","04-MAR-24","SPANISH FORK","UT","","","","","","","","","","","","","0","0","","","","","","309","28","17",""
"20240304001459A","04-MAR-24","YUKON","OK","SUNDANCE AIRPARK","","","","","","","","","","","","0","0","","","","","","32","4","6",""
"20240304001579I","04-MAR-24","MARICOPA","AZ","PHOENIX RGNL","","","","","","","","","","","","0","0","","","","","","","","",""
"20240304003829A","04-MAR-24","ELLENBORO","NC","SUMMEY AIRPARK","","","","","","","","","","","","0","0","","","","","","133","","",""
"20240304005689I","04-MAR-24","GIG HARBOR","WA","TACOMA NARROWS","","","","","","","","","","","","0","0","","","","","","","","",""
"20240305000739A","05-MAR-24","FORT MORGAN","CO","","","","","","","","","","","","","0","1","","","","","","","","",""
"20240305001799I","05-MAR-24","LUBBOCK","TX","LUBBOCK PRESTON SMITH INTL","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","15","13","7",""
"20240305002009I","05-MAR-24","BELLEVUE","WA","RENTON MUNI","","","","","","","","","","","","0","0","","","","","","15000","","",""
